Time:,Body1,x,y,phi(r),phi(d),dx/dt,dy/dt,dphi/dt(r),dphi/dt(d),d2x/dt2,d2y/dt2,d2phi/dt2(r),d2phi/dt2(d),Point1,x,y,dx/dt,dy/dt,Point2,x,y,dx/dt,dy/dt,Lam1,x,y,Kin1,-,Pot1,-,TotKin,TotPot,Total,,
Time:,Link002,-,-,-,-,-,-,-,-,-,-,-,-,Link001-{PointO},-,-,-,-,Link001-{PointA},-,-,-,-,Link002,-,-,Link002,-,Link002,-,,,,,
0,0,0.01,L,5.00E-01,-3.66E-04,0.00073253,0.041970885,-5.37E-05,-7.33E-02,0.146535117,8.395843733,-0.01610334,-7.32674443,14.65350852,839.5841931,L,0.00E+00,-2.95E-16,-2.12E-16,-2.54E-14,L,1.00E+00,-7.33E-04,-1.07E-04,-1.47E-01,L,-0.000859383,-2002.197701,L,0.002897599,L,-0.002897024,0.002897599,-0.002897024,5.75E-07
0.34,-,0.33839004,-0.36809263,0.827416334,47.40746385,-1.70976565,-1.5717991,4.644933144,266.1350653,-10.95135186,4.58586369,9.917205232,568.2140044,-,2.94E-14,-2.56E-14,7.57E-14,7.53E-14,-,0.67678007,-0.73618526,-3.4195313,-3.14359819,-,8860.888428,-10793.76312,-,0.911480033,-,-2.911479458,2.911480033,-2.911479458,5.75E-07,,
0.35,-,0.32074665,-0.38356432,0.874353041,50.09673906,-1.81868804,-1.52083512,4.741546425,271.6705985,-10.81666477,5.6083336,9.400129957,538.5877734,-,5.61E-14,-1.74E-13,-2.48E-12,-1.42E-12,-,0.64149329,-0.76712864,-3.63737607,-3.04167023,-,8829.890862,-11607.14283,-,0.033855526,-,-3.033854951,3.033855526,-3.033854951,5.75E-07,,
0.36,-,0.30202243,-0.39847516,0.922229497,52.83985791,-1.92576275,-1.4596231,4.832830124,276.9007692,-10.58116509,6.63356925,8.851378893,507.1466534,-,-4.60E-14,1.98E-13,2.06E-12,1.16E-12,-,0.60404486,-0.79695032,-3.85152549,-2.9192462,-,8721.294928,-12431.54313,-,0.151794845,-,-3.15179427,3.151794845,-3.15179427,5.75E-07,,
0.37,-,0.28224097,-0.41272271,0.970990832,55.63367663,-2.02996456,-1.38819391,4.918470686,281.807612,-10.24168601,7.6497247,8.271642996,473.9302333,-,2.31E-14,-6.05E-14,-4.51E-13,-4.96E-14,-,0.56448193,-0.82544543,-4.05992913,-2.77638783,-,8531.415495,-13258.17339,-,0.264487846,-,-3.264487271,3.264487846,-3.264487271,5.75E-07,,
0.38,-,0.26143621,-0.42620548,1.020579082,58.47487404,-2.13024443,-1.3067008,4.998162984,286.3736443,-9.79665477,8.64420616,7.661917565,438.9955394,-,-6.99E-15,-1.16E-13,-2.44E-12,-2.77E-14,-,0.52287242,-0.85241095,-4.26048886,-2.61340159,-,8257.699218,-14077.48244,-,0.371131619,-,-3.371131044,3.371131619,-3.371131044,5.75E-07,,
0.39,-,0.23965267,-0.43882411,1.070933284,61.35995731,-2.22554622,-1.2154257,5.071613386,290.5820423,-9.24625334,9.60390781,7.02350681,402.4172976,-,3.79E-14,1.68E-13,2.20E-12,5.75E-14,-,0.47930534,-0.87764821,-4.45109243,-2.43085139,-,7898.878012,-14879.31612,-,0.47094043,-,-3.470939855,3.47094043,-3.470939855,5.75E-07,,
0.4,-,0.21694537,-0.45048275,1.121989611,64.28526937,-2.31482491,-1.11478307,5.138542844,294.4168178,-8.59254036,10.51548327,6.358023292,364.2879007,-,-5.17E-14,-1.84E-13,-2.95E-12,8.35E-13,-,0.43389074,-0.9009655,-4.62964982,-2.22956613,-,7455.098593,-15653.10743,-,0.563156069,-,-3.563155494,3.563156069,-3.563155494,5.75E-07,,
0.41,-,0.19337964,-0.46109036,1.173681531,67.2469982,-2.3970658,-1.00532078,5.198689959,297.8629937,-7.83952618,11.36564565,5.667381872,324.7170621,-,7.36E-14,1.34E-13,1.82E-12,-5.33E-13,-,0.38675928,-0.92218071,-4.7941316,-2.01064157,-,6928.020814,-16388.09539,-,0.647058391,-,-3.647057816,3.647058391,-3.647057816,5.75E-07,,
0.42,-,0.16903073,-0.47056202,1.225939997,70.24118777,-2.47130416,-0.88771797,5.251813943,300.9067737,-6.99319405,12.14148721,4.953787946,283.8311419,-,-1.00E-14,-2.33E-14,-8.44E-13,7.13E-13,-,0.33806147,-0.94112403,-4.94260831,-1.77543594,-,6320.878142,-17073.56702,-,0.7219758,-,-3.721975225,3.7219758,-3.721975225,5.75E-07,,
0.43,-,0.14398322,-0.47882025,1.278693672,73.26375068,-2.53664481,-0.76277956,5.297697444,303.5357047,-6.06146266,12.83080785,4.219719929,241.7721426,-,-5.59E-14,-7.08E-14,-1.28E-12,1.29E-12,-,0.28796645,-0.9576405,-5.07328962,-1.52555911,-,5638.494772,-17699.11503,-,0.787295438,-,-3.787294863,3.787295438,-3.787294863,5.75E-07,,
